fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221003 010301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	318601	0.0686881389092636	0.998175431342069	5278	996	8117	26890000	109
20221003 010417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	380	TRUE	318601	0.0168466891846077	0.241723125494884	1863	175	7953	27460000	110
20221003 010437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	318601	0.0630511079664397	0.863657998752441	5950	187	7991	26740000	111
20221003 010753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1271	TRUE	318601	0.00558771325288875	0.260923746385781	5121	213	9114	26740000	112
20221003 010832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	367	TRUE	318601	0.0553725328529988	0.999921651472239	7679	16	7683	26880000	113
20221003 011330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1199	TRUE	318601	0.00513655097231458	0.928667298774721	2041	1024	8300	27800000	114
20221003 011756	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1336	TRUE	318601	0.00508710612114495	0.999939389778209	1737	1022	7590	26900000	115
20221003 012205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1238	TRUE	318601	0.00511031686601427	0.88471006294128	1799	1009	9078	27210000	116
20221003 012513	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	977	TRUE	318601	0.0058208480908735	0.921046214476219	2420	957	8257	27090000	117
20221003 012931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1718	TRUE	318601	0.00528652799527132	0.549103902090094	28	19	11160	26720000	118
20221003 013041	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	357	TRUE	318601	0.019227554434617	0.729407505697571	2085	1024	8310	27060000	119
20221003 013353	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	841	TRUE	318601	0.00523519933204027	0.942146284371404	2036	320	8361	27200000	120
20221003 013711	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	897	TRUE	318601	0.00511365566721161	0.285927429149046	620	52	6016	25730000	121
